"Response ID","Date Submitted","First Name:Principal Author","Last Name:Principal Author","Institution of Principal Author:Principal Author","White Paper Title","White Paper Description (350 character limit)","1:Upload File  "
"7","22 January 2019 12:00:08 pm","Daniel","Weisz","University of California, Berkeley","Near-Field Cosmology with the Lowest-Mass Galaxies","We present an overview of near-field cosmology and make recommenations for future progress. The study of nearby low-mass galaxies on a star-by-star basis has implications that extend far beyond the local Universe and include the nature of dark matter, lives and deaths of the first stars, cosmic reionization, and galaxy formation across cosmic time.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-d855019a19f08bbb8c93d3133407fd04_WeiszDaniel.pdf"
"8","7 February 2019 4:14:39 pm","Frank","Timmes","Arizona State University","Catching Element Formation In The Act ; The Case for a New MeV Gamma-Ray Mission: Radionuclide Astronomy in the 2020s","Gamma-ray astronomy explores the most energetic photons in nature to address some of the most pressing puzzles in contemporary astrophysics. The unique information provided by MeV gamma-ray astronomy to help address frontiers makes now a compelling time for the community to advocate for a new mission to be operational in the 2020s and beyond.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/118-67aa9f7d04d7bb408a3881b53afc8a5e_TimmesFrankX.pdf"
"9","10 February 2019 8:19:56 pm","J. Craig","Wheeler","The University of Texas at Austin","ELT Contributions to The First Explosions","We describe the potential for using Type Ia supernovae, pair instability supernovae, superluminous supernovae, and gamma-ray bursts to probe the first explosions and hence first stars in the Universe with a US-ELT System.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-d5d7a92c2b2005bcda972350356e911a_WheelerJCraig.pdf"
"10","10 February 2019 8:27:59 pm","J. Craig","Wheeler","The University of Texas at Austin","ELT Contributions to Tidal Disruption Events","A US-ELT system with its large aperture and sensitive optical and near infrared imager spectrographs will make major contributions to the study of stars ripped apart by supermassive black holes. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-0b6d460b8400cc667f3ebae6e377a50c_WheelerJCraig%282%29.pdf"
"11","15 February 2019 10:23:33 pm","Hantao","Ji","Princeton University","Major Scientific Challenges and Opportunities in Understanding Magnetic Reconnection and Related Explosive Phenomena throughout the Universe","This is a group white paper of 100 authors (each with explicit permission via email) from 51 institutions on the topic of magnetic reconnection which is relevant to 6 thematic areas. Grand challenges and research opportunities are described in observations, numerical modeling and laboratory experiments in the upcoming decade.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-61b64dfdc75fe83124ba902d69e2324d_Ji-reconnection-astro2020-final.pdf"
"12","16 February 2019 12:47:46 pm","Jack","Burns","University of Colorado Boulder","Dark Cosmology: Investigating Dark Matter & Exotic Physics in the Dark Ages using the Redshifted 21-cm Global Spectrum","The Dark Ages, probed by the redshifted 21-cm signal, is the ideal epoch for a new rigorous test of the standard ΛCDM cosmological model. Divergences from that model would indicate new physics, such as dark matter decay (heating) or baryonic cooling beyond that expected from adiabatic expansion of the Universe.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-d20d49952f5d9b7af87492221bc1ac89_BurnsJackO.pdf"
"13","16 February 2019 11:06:25 pm","david","sheikh","ZeCoat Corporation","Method to aluminum-coat telescope mirrors in space for EUV-broadband astronomy","Telescope mirrors and gratings coated on-orbit with bare aluminum may allow broadband observations that include the EUV band between 30-nm and 100-nm and would have broadband coverage from the EUV through the long IR. High-discharge lithium battery technology exists today to build a large, self-coating telescope in space.     ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/118-e192d81b5b5ba23990d5de149c9bccee_SheikhDavidA.pdf"
"14","17 February 2019 4:55:16 pm","Michael","Fundator","Rutgers University","Galileo Galilei versus Aristotle, Philosophy of motion, Galileo’s  contemporaries, very large numbers, Fermat’s Last Theorem, and speed of light.","Galileo’s opposition to Aristotle’s concepts of motion developed into square dependence in the philosophical thought on kinematics and dynamics, Galileo’s transformation and concepts including infinite, theory of motion,   analytical geometry, measurement of speeds of light and sound, theory of numbers with focus on very large numbers. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-ad57d859f5c9a7fa688af62831af3bd3_AstroWhitePaper.pdf"
"15","18 February 2019 3:31:32 am","Ashwini","Sathnur","United Nations Development Programme","Solar flares and Quantum Neural Networks","Introduction of new technologies on the conceptual ideologies of Accessibility.   This white paper describes the innovative themes of solar flares and the realization of implementation of new technologies.   The human  astronauts end users are located in the space regions where there could be incidents of exposure to the solar flares and the radiation.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-b35505d0813dd574247847c4e2c09a78_SathnurAshwini.docx"
"16","18 February 2019 8:05:24 am","Michael","Eracleous","The Pennsylvania State University","An Arena for Multi-Messenger Astrophysics: Inspiral and Tidal Disruption of White Dwarfs by Massive Black Holes","Tidal disruptions of white dwarfs by intermediate-mass black holes can inform us of black hole demographics, stellar populations and dynamics in their vicinity, and the physics of accretion. We can harness the information with a combination of surveys surveys for electromagnetic observatories and low-frequency gravitational wave observations.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/185-3c866021fec76c0e4465bc2211ccdc96_LISA_WD_current.pdf"
